,text,id,created_at,author_id
76,"@SgtJames13 Africa has less than 10% of population fully vaccinated, yet they have the lowest COVID numbers-They take hydroxychloroquine every Sunday. They call it their “Sunday/Sunday” drug. It’s an anti-malaria drug that’s been around since 1965 - but because trump said it, it must be bad.",1482791953041403907,2022-01-16T19:08:45.000Z,1335671574909886471
77,"RT @TheStrainHub: Researchers evaluated the transmission networks of malaria through 𝘗𝘭𝘢𝘴𝘮𝘰𝘥𝘪𝘶𝘮 𝘷𝘪𝘷𝘢𝘹 genes 𝘗𝘷𝘴230 and 𝘗𝘷𝘜𝘓𝘎8.

More here:…",1482791832819953666,2022-01-16T19:08:16.000Z,703569810542698496
78,@Taku_Machawira @hatiperi_wacho I can only imagine. And my imagination is that it was not malaria or tungundu (sleeping sickness). He died at the hands of the enemy. The BSAC and its battalion of mercenaries killed him. His head was then taken secretly as a war trophy- so much brutality happened at that time.,1482791815426318339,2022-01-16T19:08:12.000Z,1169008916266721280
79,"@martinlegallo @DrEliDavid Ever travelled overseas? Taken vaccinations for Malaria, Cholera etc?

Get a grip. He lied on his Visa. He thought he could get away with it. He didn't.",1482791771910586372,2022-01-16T19:08:02.000Z,749939365984350209
80,Why I seek federal agency for malaria eradication – Ned Nwoko https://t.co/WFVDd5A6LA,1482791580012531724,2022-01-16T19:07:16.000Z,2544469879
81,"@HeyBethMay ""Malaria""",1482791462571937793,2022-01-16T19:06:48.000Z,383900164
82,"RT @TheLancet: The legacy of #COVID19 for Papua New Guinea: disrupted care &amp; setbacks in action against tuberculosis, HIV/AIDS, &amp; malaria.…",1482791243373498371,2022-01-16T19:05:56.000Z,38748444
83,"@0467luis @FRANCISCOJZAPPI Sí ; lo más probable es que la dejen morir , Ella y sus familiares deben conseguir hidroxicloroquina y proceder como si Ella tuviese malaria, el posible causante es la Bacteria E.Coli genéticamente modificada.(Según la Dra, Love de Finlandia). https://t.co/OjeNKcWioE",1482790974816411653,2022-01-16T19:04:51.000Z,1734239426
84,"RT @TheLancet: The legacy of #COVID19 for Papua New Guinea: disrupted care &amp; setbacks in action against tuberculosis, HIV/AIDS, &amp; malaria.…",1482790917362884608,2022-01-16T19:04:38.000Z,294344306
85,"RT @TheLancet: The legacy of #COVID19 for Papua New Guinea: disrupted care &amp; setbacks in action against tuberculosis, HIV/AIDS, &amp; malaria.…",1482790880624979974,2022-01-16T19:04:29.000Z,1134550993
86,RT @KristineK1966: @Hqdepot1 @ksorbs @GOP @FoxNews Perhaps you’d like to consult with the two doctors who received Nobel peace prizes for i…,1482790697023377408,2022-01-16T19:03:45.000Z,32394815
87,RT @KristineK1966: @Hqdepot1 @ksorbs @GOP @FoxNews Perhaps you’d like to consult with the two doctors who received Nobel peace prizes for i…,1482790354285965317,2022-01-16T19:02:24.000Z,1349010518011506690
88,"@maer @james_e_b_ Indeed, until it affects the home country a lot don’t care. 1:400 (ish) Americans died in the last 2 years of this. Not so many of starvation or malaria. The response though is based upon a number of factors… a thread…",1482790323759857668,2022-01-16T19:02:16.000Z,126641749
89,@LomboMiki Y … con la malaria qué hay … tal vez tanta razón no le falta 🤣🤣🤣🤣🤣,1482790305611100162,2022-01-16T19:02:12.000Z,4886154867
90,"RT @dgurdasani1: Time to tell all these 'developing' countries to cancel national malaria, TB programmes because -well- these diseases are…",1482790152888098816,2022-01-16T19:01:36.000Z,4184466087
91,RT @Iam_abdulmykeL: @FS_Yusuf_ How much is refinery that presido cannot do in 8years if not coz of small malaria that he went to abroad to…,1482790146604941319,2022-01-16T19:01:34.000Z,357962561
92,"@msfella @DJLforfreedom @RB_Showman @koechlingphoto @resisterlib @mama_c6 Since erections come from good blood flow, Viagra is good for both. Ivermectin and Hydroxychloroquine are NOT good for treading viral infections; Ivermectin only affects eukaryotic parasites, Hydroxychloroquine only works on the malaria protozoan and autoimmune disorders.",1482790085443694596,2022-01-16T19:01:19.000Z,1142497874833498112
93,Why I’m Seeking FG’s Agency For Malaria Eradication - Ned Nwoko - https://t.co/yJdzfw1ClF,1482790060730695682,2022-01-16T19:01:14.000Z,829669440103002112
94,@Ummi__Rahab Ment or malaria?,1482790008180383748,2022-01-16T19:01:01.000Z,1481543118767984640
95,"@EhizG You seem to forget that I lived in Africa for a year so, I do have an idea. Did you know the woman personally? Do u know if she had a preexisting medical condition? Do you know if she started taking her Malaria Pills days before traveling to Nigeria, or are you going on hearsay?",1482789695188881409,2022-01-16T18:59:46.000Z,1414757869254217730
96,"RT @FadaunsiAdeniyi: Peter Obi as a sitting governor was flying ""Economy Class"" while your MCMs were flying private jets to go treat malari…",1482789361313882117,2022-01-16T18:58:27.000Z,1650904387
97,@FS_Yusuf_ How much is refinery that presido cannot do in 8years if not coz of small malaria that he went to abroad to treat that's why we have to refines crude oil abroad cos he spent  much time over there,1482789275611676673,2022-01-16T18:58:06.000Z,313971259
98,@zuza_malta @reinaldoazevedo A vacina da malária não te deixa ser contaminado! Uma grande diferença…,1482789256246476800,2022-01-16T18:58:02.000Z,48674821
99,@thisisbayelsa This is definitely a pitiful thought pattern. To justify the acts of a few to empower the same few at the expense of the health of the greater majority. We dont even have the facilities to curb deaths from malaria. This is very little we can do about cancers.,1482789249003016192,2022-01-16T18:58:00.000Z,422053484
